repo_name,total_events,unique_actors,bot_events,first_event,last_event,total_payload_b,phish_name_flag,ai_coauthor_flag,unique_orgs,events_per_actor,bot_ratio,time_span_s,events_per_second,event_type_diversity,distinct_branches,suspicious_score
ikc2210/finserv-monorepo-demo,172,2,124,2026-04-14 23:21:08+00:00,2026-04-16 18:24:29+00:00,444703,False,False,0,86.0,0.7209302325581395,155001.0,0.0011096702601918697,8,59,3
ROCm/TheRock,290,73,16,2026-04-14 00:02:21+00:00,2026-04-16 22:57:27+00:00,528846,False,False,1,3.9726027397260273,0.05517241379310345,255306.0,0.0011358918317626691,10,59,0
dogtoothdigital-droid/housinginsightsdc,59,1,0,2026-04-16 20:05:25+00:00,2026-04-16 20:06:21+00:00,38311,False,False,0,59.0,0.0,56.0,1.0535714285714286,1,59,3
liferay-continuous-integration/liferay-portal,91,1,0,2026-04-14 01:20:37+00:00,2026-04-16 22:35:07+00:00,137776,False,False,0,91.0,0.0,249270.0,0.0003650659926986801,5,59,2
sabbour/kickstart,433,6,50,2026-04-14 02:40:56+00:00,2026-04-16 22:04:39+00:00,1692427,False,False,0,72.16666666666667,0.11547344110854503,242623.0,0.0017846618004063919,9,59,1
DataDog/dd-trace-py,388,46,162,2026-04-14 01:26:19+00:00,2026-04-16 22:22:22+00:00,815891,False,False,1,8.434782608695652,0.4175257731958763,248163.0,0.0015634885135979175,9,59,0
konflux-qe-bd/multiarch-sample-repo,173,2,76,2026-04-14 02:23:28+00:00,2026-04-16 20:19:30+00:00,149060,False,False,1,86.5,0.4393063583815029,237362.0,0.0007288445496751797,4,59,1
Mergifyio/docs,235,7,219,2026-04-14 06:04:55+00:00,2026-04-16 22:22:31+00:00,294703,False,False,1,33.57142857142857,0.9319148936170213,231456.0,0.0010153117655191484,7,58,3
axiomofjoy/phoenix,75,1,75,2026-04-14 01:01:08+00:00,2026-04-16 22:23:17+00:00,54876,False,False,0,75.0,1.0,249729.0,0.0003003255528993429,2,58,4
katerina7479/company_town,273,1,0,2026-04-14 00:00:46+00:00,2026-04-16 22:54:31+00:00,348851,False,False,0,273.0,0.0,255225.0,0.0010696444313840728,6,58,2
konflux-qe-bd/fbc-sample-repo,158,2,62,2026-04-14 02:23:39+00:00,2026-04-16 20:04:48+00:00,128244,False,False,1,79.0,0.3924050632911392,236469.0,0.0006681636916466852,4,58,1
Kilo-Org/cloud,414,19,94,2026-04-14 00:07:43+00:00,2026-04-16 22:14:48+00:00,685033,False,False,1,21.789473684210527,0.22705314009661837,252425.0,0.0016400911161731208,7,58,1
dfinity/ic,326,29,97,2026-04-14 06:37:52+00:00,2026-04-16 22:58:10+00:00,452779,False,False,1,11.241379310344827,0.29754601226993865,231618.0,0.0014074899187455207,7,58,1
erwinislasegura/vextra,257,1,0,2026-04-14 04:28:25+00:00,2026-04-16 22:56:36+00:00,195682,False,False,0,257.0,0.0,239291.0,0.0010740061264318341,3,58,2
luisquintanilla/docs,284,2,284,2026-04-15 01:13:31+00:00,2026-04-15 01:39:53+00:00,653770,False,False,0,142.0,1.0,1582.0,0.179519595448799,6,58,4
nintyboy/workshop-trigger-test,133,1,133,2026-04-14 01:02:48+00:00,2026-04-16 22:25:12+00:00,93793,False,False,0,133.0,1.0,249744.0,0.0005325453264142482,3,57,4
smartcontractkit/chainlink,321,45,162,2026-04-14 00:10:28+00:00,2026-04-16 22:48:57+00:00,743365,False,False,1,7.133333333333334,0.5046728971962616,254309.0,0.0012622439630528216,8,57,2
snowflakedb/universal-driver,278,19,85,2026-04-14 07:27:31+00:00,2026-04-16 22:55:27+00:00,378994,False,False,1,14.631578947368421,0.3057553956834532,228476.0,0.0012167579964635236,7,57,1
multica-ai/multica,811,538,25,2026-04-14 00:06:41+00:00,2026-04-16 22:57:52+00:00,1343152,False,False,1,1.5074349442379182,0.030826140567200986,255071.0,0.00317950688239745,8,57,0
NVIDIA/cuda-quantum,207,15,109,2026-04-14 00:18:28+00:00,2026-04-16 22:04:23+00:00,291495,False,False,1,13.8,0.5265700483091788,251155.0,0.0008241922318886743,8,57,3
rhtap-perf-test/libecpg-srcfedora-fork-prdrh01rm-jhutar-1-tenant,217,2,146,2026-04-14 00:06:46+00:00,2026-04-16 22:59:48+00:00,201656,False,False,1,108.5,0.6728110599078341,255182.0,0.000850373458943029,4,56,3
hmrc/build-and-deploy-canary-service,225,1,0,2026-04-14 00:09:32+00:00,2026-04-16 22:39:33+00:00,194840,False,False,1,225.0,0.0,253801.0,0.0008865213297031926,4,56,2
SabreOSS/opentelemetry-collector-contrib,241,2,241,2026-04-14 00:00:11+00:00,2026-04-15 07:01:59+00:00,1141868,False,False,1,120.5,1.0,111708.0,0.00215741039137752,4,56,3
paradigmxyz/reth,181,20,66,2026-04-14 02:51:35+00:00,2026-04-16 21:26:36+00:00,242273,False,False,1,9.05,0.36464088397790057,239701.0,0.000755107404641616,9,56,0
Skamba/VibeSensor,324,2,74,2026-04-14 06:18:07+00:00,2026-04-16 16:41:12+00:00,481107,False,False,0,162.0,0.22839506172839505,210185.0,0.0015414991555058638,7,56,1
opentabs-dev/opentabs,134,3,0,2026-04-14 00:13:28+00:00,2026-04-16 18:33:51+00:00,94861,False,False,0,44.666666666666664,0.0,238823.0,0.0005610849876268198,5,56,1
rararulab/rara,235,4,60,2026-04-14 04:12:17+00:00,2026-04-16 15:42:32+00:00,314872,False,False,1,58.75,0.2553191489361702,214215.0,0.0010970286861330906,6,56,1
redhat-appstudio-qe/konflux-test-integration,151,5,101,2026-04-14 02:45:33+00:00,2026-04-16 22:19:26+00:00,140305,True,False,1,30.2,0.6688741721854304,243233.0,0.000620803920520653,4,56,6
MasterDD-L34D/Game,251,2,13,2026-04-14 00:00:30+00:00,2026-04-16 22:44:07+00:00,428547,False,False,0,125.5,0.05179282868525897,254617.0,0.0009857943499452118,8,56,1
p-b-o/qemu-ci,60,3,1,2026-04-14 01:06:15+00:00,2026-04-16 21:20:58+00:00,40464,False,False,0,20.0,0.016666666666666666,245683.0,0.00024421714160116896,3,56,1
pohanhuang/harvester,230,4,130,2026-04-14 09:10:28+00:00,2026-04-16 12:47:50+00:00,609065,False,False,0,57.5,0.5652173913043478,185842.0,0.0012376104432797754,6,55,3
morgannito/zombie-browser-game,242,2,4,2026-04-14 13:12:49+00:00,2026-04-16 21:29:46+00:00,177112,False,False,0,121.0,0.01652892561983471,202617.0,0.0011943716469990178,5,55,1
26520556/cc-switch,55,1,0,2026-04-15 04:31:23+00:00,2026-04-15 04:31:49+00:00,31966,False,False,0,55.0,0.0,26.0,2.1153846153846154,1,55,3
rap72391307/lm-evaluation-harness,55,1,0,2026-04-15 05:04:58+00:00,2026-04-15 05:05:33+00:00,33497,False,False,0,55.0,0.0,35.0,1.5714285714285714,1,55,3
rhtap-perf-test/nodejs-devfile-sample-stgrh01cs-jhutar-1-tenant,205,2,159,2026-04-14 00:00:59+00:00,2026-04-16 22:01:34+00:00,195625,False,False,1,102.5,0.775609756097561,252035.0,0.0008133790941734283,4,55,3
redhat-appstudio-qe/devfile-sample-python-basic,170,5,114,2026-04-14 02:45:35+00:00,2026-04-16 22:25:24+00:00,157234,False,False,1,34.0,0.6705882352941176,243589.0,0.0006978968672641211,4,55,3
AFnRFCb7/failure,55,1,0,2026-04-14 10:19:46+00:00,2026-04-16 20:52:55+00:00,35750,False,False,0,55.0,0.0,210789.0,0.00026092443154054527,1,55,2
faiscadev/fakecloud,321,23,42,2026-04-14 00:03:06+00:00,2026-04-16 22:58:38+00:00,516135,False,False,1,13.956521739130435,0.1308411214953271,255332.0,0.0012571867216016794,9,55,1
davidkelley/searchlite,380,3,14,2026-04-14 07:58:48+00:00,2026-04-16 22:55:55+00:00,913119,False,False,0,126.66666666666667,0.03684210526315789,226627.0,0.0016767640219391335,8,55,1
brave/brave-core,540,56,29,2026-04-14 00:04:01+00:00,2026-04-16 22:57:47+00:00,1199089,False,False,1,9.642857142857142,0.053703703703703705,255226.0,0.002115771904116352,8,55,0
modernizetest/PhotoAlbum,351,2,0,2026-04-14 01:24:39+00:00,2026-04-16 10:19:24+00:00,386096,False,False,0,175.5,0.0,204885.0,0.0017131561607731166,4,54,1
starkware-libs/sequencer,308,23,68,2026-04-14 06:03:05+00:00,2026-04-16 20:32:41+00:00,474334,False,False,1,13.391304347826088,0.22077922077922077,224976.0,0.0013690349192802787,7,54,1
akarlin3/prismTask,247,3,46,2026-04-14 00:04:18+00:00,2026-04-16 22:54:07+00:00,179626,False,False,0,82.33333333333333,0.1862348178137652,254989.0,0.0009686692367121719,6,54,1
LedgerHQ/ledger-live,554,53,132,2026-04-14 04:27:58+00:00,2026-04-16 19:01:17+00:00,1090059,False,False,1,10.452830188679245,0.23826714801444043,225199.0,0.002460046447808383,8,54,1
openvinotoolkit/openvino,283,46,160,2026-04-14 00:16:53+00:00,2026-04-16 22:07:10+00:00,788821,False,False,1,6.1521739130434785,0.5653710247349824,251417.0,0.0011256199859198065,9,54,2
Kensan196948G/ITSM-System,106,1,106,2026-04-14 00:27:12+00:00,2026-04-16 21:49:59+00:00,65214,False,False,0,106.0,1.0,249767.0,0.0004243955366401486,2,54,4
PKRoma/vscode,101,1,0,2026-04-14 04:30:59+00:00,2026-04-16 16:56:24+00:00,57047,False,False,0,101.0,0.0,217525.0,0.0004643144466153316,3,54,2
airbytehq/airbyte,427,34,298,2026-04-14 00:01:09+00:00,2026-04-16 22:56:38+00:00,1678035,False,False,1,12.558823529411764,0.6978922716627635,255329.0,0.001672352141746531,9,54,3
RoobNood/DungeonAdventure,54,1,0,2026-04-14 06:02:12+00:00,2026-04-14 06:02:30+00:00,32798,False,False,0,54.0,0.0,18.0,3.0,1,54,3
IL-Internet/squoosh,53,1,0,2026-04-15 01:42:00+00:00,2026-04-15 01:42:25+00:00,36226,False,False,0,53.0,0.0,25.0,2.12,1,53,3
zed-industries/zed,646,122,75,2026-04-14 00:31:01+00:00,2026-04-16 22:48:38+00:00,2612401,False,False,1,5.295081967213115,0.11609907120743033,253057.0,0.002552784550516287,11,53,0
nashsan8476/A-,53,1,0,2026-04-15 13:12:06+00:00,2026-04-15 13:12:20+00:00,32360,False,False,0,53.0,0.0,14.0,3.7857142857142856,1,53,3
rhtap-perf-test/nodejs-devfile-sample2-prdrh03cs-jhutar-tenant,230,2,153,2026-04-14 00:19:04+00:00,2026-04-16 22:06:16+00:00,222034,False,False,1,115.0,0.6652173913043479,251232.0,0.000915488472806012,4,53,3
packetqc/knowledge,170,1,0,2026-04-14 01:35:48+00:00,2026-04-16 19:56:33+00:00,111862,False,False,0,170.0,0.0,238845.0,0.0007117586719420545,4,53,2
modular-magician/terraform-provider-google,115,1,0,2026-04-14 01:31:57+00:00,2026-04-16 22:56:05+00:00,76906,False,False,0,115.0,0.0,249848.0,0.00046027985014889054,3,53,2
coinerd/q,320,2,2,2026-04-14 04:12:13+00:00,2026-04-16 22:58:15+00:00,1051487,False,False,0,160.0,0.00625,240362.0,0.0013313252510796217,6,52,1
forkwright/aletheia,294,5,58,2026-04-14 01:54:50+00:00,2026-04-16 22:54:06+00:00,737907,False,False,0,58.8,0.19727891156462585,248356.0,0.0011837845673146612,7,52,1
lynx-family/lynx,218,15,8,2026-04-14 00:18:21+00:00,2026-04-16 22:56:21+00:00,201720,False,False,1,14.533333333333333,0.03669724770642202,254280.0,0.0008573226364637407,6,52,1
llm-random/llm-random-cemetery,52,4,0,2026-04-14 00:07:41+00:00,2026-04-16 17:04:32+00:00,43923,False,False,1,13.0,0.0,233811.0,0.00022240185448930974,1,52,1
Ivy-Interactive/Ivy-Framework,207,10,1,2026-04-14 05:16:17+00:00,2026-04-16 18:55:54+00:00,285889,False,False,1,20.7,0.004830917874396135,221977.0,0.0009325290458020426,8,52,1
CodeByAfroj/test_ci_cd,176,1,0,2026-04-14 07:34:43+00:00,2026-04-16 21:55:05+00:00,106971,False,False,0,176.0,0.0,224422.0,0.0007842368395255367,4,52,2
ht202/Lerobot-arm,52,1,0,2026-04-14 09:47:03+00:00,2026-04-14 09:47:54+00:00,31098,True,False,0,52.0,0.0,51.0,1.0196078431372548,1,52,6
jax-ml/jax,413,24,382,2026-04-14 00:11:31+00:00,2026-04-16 22:47:39+00:00,485695,False,False,1,17.208333333333332,0.9249394673123487,254168.0,0.00162490950867143,10,52,3
logiq-ai/verisoftbench-repos,130,5,126,2026-04-14 00:46:40+00:00,2026-04-16 22:57:47+00:00,223992,False,False,1,26.0,0.9692307692307692,252667.0,0.0005145111945762604,5,52,3
rhtap-perf-test/libecpg-srcfedora-fork-fedorap01rm-konflux-perfscale-tenant,249,2,164,2026-04-14 00:00:20+00:00,2026-04-16 22:57:11+00:00,245351,False,False,1,124.5,0.6586345381526104,255411.0,0.0009748992799840258,4,52,3
ministryofjustice/cloud-platform-environments,218,41,13,2026-04-14 06:43:29+00:00,2026-04-16 21:42:46+00:00,395391,False,False,1,5.317073170731708,0.05963302752293578,226757.0,0.0009613815670519543,6,52,0
Waltzkid/Because,52,1,0,2026-04-16 09:01:45+00:00,2026-04-16 09:02:27+00:00,30180,False,False,0,52.0,0.0,42.0,1.2380952380952381,1,52,3
antonrado/maconly-supply-brain-backend,189,1,0,2026-04-14 16:07:52+00:00,2026-04-16 12:15:32+00:00,137495,False,False,0,189.0,0.0,158860.0,0.0011897268034747578,4,52,2
