bot_category,n_bots,total_events,median_repos,wide_footprint_pct
ci_cd,216,1205999,1.0,0.032407407407407406
code_quality,15,3871,3.0,0.4666666666666667
dependency,340,434867,1.0,0.2
docs,2,717,179.5,1.0
other,7510,579917,1.0,0.09627163781624501
security,3,1163,112.0,0.6666666666666666
translation,12,1182,1.0,0.16666666666666666
