actor_login,total_events,unique_repos,unique_event_types,event_entropy,burst_fraction,median_gap_s,min_gap_s,span_hours,ai_coauthor,is_bot_actor,suspicious_human_score,susp_low_entropy,susp_burst,susp_high_volume,susp_single_type,susp_ai_coauthor
JGiola,68,1,1,0.0,0.9701492537313433,2.0,0.0,0.16555555555555557,False,False,4,1.0,1.0,1.0,1.0,0.0
aakash1552005,125,1,1,0.0,0.8951612903225806,6.5,1.0,1.2383333333333333,False,False,4,1.0,1.0,1.0,1.0,0.0
vapolxo,149,1,1,0.0,0.9459459459459459,8.0,0.0,3.9355555555555557,False,False,4,1.0,1.0,1.0,1.0,0.0
Sifat049,24,1,1,0.0,0.8695652173913043,14.0,7.0,46.27,False,False,4,1.0,1.0,1.0,1.0,0.0
Vachhani-Tapan,105,3,1,0.0,0.9038461538461539,4.0,0.0,51.39333333333333,False,False,4,1.0,1.0,1.0,1.0,0.0
watchanicl,42,1,1,0.0,1.0,3.0,0.0,0.04388888888888889,False,False,4,1.0,1.0,1.0,1.0,0.0
willward1,102,1,1,0.0,0.7029702970297029,8.0,0.0,66.05444444444444,False,False,4,1.0,1.0,1.0,1.0,0.0
GideokKim,47,1,1,0.0,0.8478260869565217,15.0,1.0,0.6158333333333333,False,False,4,1.0,1.0,1.0,1.0,0.0
Shubham22111710,526,1,1,0.0,1.0,0.0,0.0,0.07861111111111112,False,False,4,1.0,1.0,1.0,1.0,0.0
surajkr35,28,1,1,0.0,0.7037037037037037,13.0,1.0,48.38638888888889,False,False,4,1.0,1.0,1.0,1.0,0.0
vghsza,34,34,1,0.0,0.696969696969697,58.0,28.0,0.6208333333333333,False,False,4,1.0,1.0,1.0,1.0,0.0
IfzaRasool,29,29,1,0.0,0.9642857142857143,5.5,1.0,0.3086111111111111,False,False,4,1.0,1.0,1.0,1.0,0.0
TommyYow,86,1,1,0.0,0.9764705882352941,3.0,0.0,48.024166666666666,False,False,4,1.0,1.0,1.0,1.0,0.0
umitm0d,2187,2,1,0.0,0.9981701738334858,3.0,0.0,8.188611111111111,False,False,4,1.0,1.0,1.0,1.0,0.0
sortsusan1,82,3,1,0.0,0.9629629629629629,8.0,2.0,0.3541666666666667,False,False,4,1.0,1.0,1.0,1.0,0.0
tanotoux,80,2,1,0.0,0.759493670886076,20.0,0.0,3.158888888888889,False,False,4,1.0,1.0,1.0,1.0,0.0
zaloguj12,31,1,1,0.0,0.9,2.0,0.0,0.3616666666666667,False,False,4,1.0,1.0,1.0,1.0,0.0
Aschio12,27,3,1,0.0,0.6153846153846154,7.0,0.0,58.08722222222222,False,False,4,1.0,1.0,1.0,1.0,0.0
Fuoco-guide,32,1,1,0.0,0.7096774193548387,16.0,4.0,2.6752777777777776,False,False,4,1.0,1.0,1.0,1.0,0.0
timowill,40,40,1,0.0,0.9487179487179487,11.0,10.0,0.2125,False,False,4,1.0,1.0,1.0,1.0,0.0
youjinghui,57,1,1,0.0,0.875,20.0,1.0,1.1558333333333333,False,False,4,1.0,1.0,1.0,1.0,0.0
weed64toad,297,1,1,0.0,0.972972972972973,6.0,0.0,6.802222222222222,False,False,4,1.0,1.0,1.0,1.0,0.0
almonarsen,65,64,1,0.0,0.875,17.0,0.0,24.002777777777776,False,False,4,1.0,1.0,1.0,1.0,0.0
vezidaddio,77,77,1,0.0,0.9078947368421053,16.0,7.0,23.99277777777778,False,False,4,1.0,1.0,1.0,1.0,0.0
GaganRai-hyphen,65,1,1,0.0,0.984375,4.0,1.0,21.403055555555557,False,False,4,1.0,1.0,1.0,1.0,0.0
SandipNandy,22,2,1,0.0,0.8571428571428571,20.0,10.0,13.923333333333334,False,False,4,1.0,1.0,1.0,1.0,0.0
Gilesearl,112,112,1,0.0,0.990990990990991,8.0,0.0,23.450555555555557,False,False,4,1.0,1.0,1.0,1.0,0.0
Pluani,577,1,1,0.0,0.8784722222222222,3.0,0.0,70.00555555555556,False,False,4,1.0,1.0,1.0,1.0,0.0
JATIN-AFKK,123,1,1,0.0,0.9672131147540983,8.0,3.0,3.672222222222222,False,False,4,1.0,1.0,1.0,1.0,0.0
solace-re-bot-1,39,12,1,0.0,0.8157894736842105,0.0,0.0,53.00277777777778,False,False,4,1.0,1.0,1.0,1.0,0.0
vietndj,88,5,1,0.0,0.7701149425287356,14.0,2.0,52.23138888888889,False,False,4,1.0,1.0,1.0,1.0,0.0
abdoufaye2002,52,1,1,0.0,0.9215686274509803,17.0,6.0,47.18805555555556,False,False,4,1.0,1.0,1.0,1.0,0.0
town2000,324,1,1,0.0,0.978328173374613,5.0,0.0,6.804166666666666,False,False,4,1.0,1.0,1.0,1.0,0.0
zeller90,38,38,1,0.0,0.972972972972973,16.0,7.0,0.19555555555555557,False,False,4,1.0,1.0,1.0,1.0,0.0
shitsuapi,231,2,1,0.0,0.9826086956521739,3.0,0.0,4.28,False,False,4,1.0,1.0,1.0,1.0,0.0
tomeamiker13,33,1,1,0.0,0.875,21.0,2.0,0.2388888888888889,False,False,4,1.0,1.0,1.0,1.0,0.0
BE77ION,24,2,1,0.0,0.6086956521739131,4.0,0.0,50.32527777777778,False,False,4,1.0,1.0,1.0,1.0,0.0
akizmuumuk,36,36,1,0.0,0.9714285714285714,19.0,9.0,0.22027777777777777,False,False,4,1.0,1.0,1.0,1.0,0.0
Sakthi-143,118,5,1,0.0,0.8034188034188035,15.0,5.0,45.54194444444445,False,False,4,1.0,1.0,1.0,1.0,0.0
VaibhavTheCoder123,30,1,1,0.0,0.896551724137931,12.0,4.0,0.48388888888888887,False,False,4,1.0,1.0,1.0,1.0,0.0
MelexisBC,134,2,1,0.0,0.6917293233082706,25.0,0.0,50.55583333333333,False,False,4,1.0,1.0,1.0,1.0,0.0
z979054461,54,1,1,0.0,0.7169811320754716,3.0,1.0,23.26,False,False,4,1.0,1.0,1.0,1.0,0.0
