actor_login,repo_name,event_count,rank,purpose_label,name_category,language
3luvluvluv3-bot,3luvluvluv3-bot/sprechen,6,1.0,no_description,automation,
3luvluvluv3-bot,3luvluvluv3-bot/schreiben,4,2.0,no_description,automation,
3pl-self-hosted-renovate-bot[bot],blake-education/ecr-cn-buildkite-plugin,1,1.0,no_description,general,
4C-Bot,4C-multiphysics/fourcipp,2,1.0,no_description,general,
5117832wyc-bot,5117832wyc-bot/a-share-hot-consensus,6,1.0,no_description,automation,
5248gs2t55-bot,5248gs2t55-bot/-python-analytics-homework,8,1.0,no_description,automation,
5422m4n-bot[bot],sassman/amoxide-rs,2,1.0,no_description,general,
5422m4n-bot[bot],sassman/homebrew-tap,2,2.0,no_description,general,
562425993-bot,562425993-bot/keyplay-vape-landing-page,3,1.0,no_description,automation,
5e-bits-deploy-bot[bot],5e-bits/5e-database,1,1.0,no_description,general,
5ouma[bot],5ouma/mobicard,8,1.0,no_description,general,
5ouma[bot],5ouma/utils,7,2.0,no_description,general,
5ouma[bot],5ouma/reproxy,2,3.0,no_description,general,
5ouma[bot],5ouma/dorg,1,4.0,no_description,general,
5ouma[bot],5ouma/mli,1,5.0,no_description,general,
6666-6-bot,RemotePinee/AudioVisual,1,1.0,no_description,general,
673286233-bot,673286233-bot/gsd-demo,1,1.0,no_description,automation,
6[bot],6/nitrocop,566,1.0,no_description,general,
6w2xjystnb-bot,6w2xjystnb-bot/lendicwhite,21,1.0,no_description,automation,
6w2xjystnb-bot,6w2xjystnb-bot/VK-Swiftgram-Patch,13,2.0,no_description,automation,
6w2xjystnb-bot,6w2xjystnb-bot/TelegramVK,9,3.0,no_description,automation,
6w2xjystnb-bot,6w2xjystnb-bot/telegram-custom,4,4.0,no_description,automation,
6w2xjystnb-bot,6w2xjystnb-bot/VK-Swiftgram-Full,1,5.0,no_description,automation,
70000657-bot,70000657-bot/PA2-Inventario-GitFlow,7,1.0,no_description,automation,
717824p146-bot,717824p146-bot/WAD_Assignment2,1,1.0,no_description,automation,
71900-bot,71900-bot/Achitect-Arithmetic,1,1.0,no_description,automation,
72136836-bot,72136836-bot/taskflow-app,2,1.0,no_description,automation,
72136836-bot,72136836-bot/PA-01---aplicacion-web,1,2.0,no_description,automation,
7342664321-bot,7342664321-bot/Grupo05_zanahorias,2,1.0,no_description,automation,
7342664321-bot,7342664321-bot/GRUP_ZANAHORIA,1,2.0,no_description,automation,
7342664321-bot,7342664321-bot/PAGE01_G5,1,3.0,no_description,automation,
77-eleven-blog[bot],comrelyy/blog-7-Eleven,20,1.0,no_description,general,
7asuka7-bot,7asuka7-bot/line-bot-server,1,1.0,no_description,automation,
7houston-travisa,7houston-travisa/my-blog,2,1.0,no_description,general,
7houston-travisa,Fannar-afk/shadowguard,1,2.0,no_description,general,
7houston-travisa,GENTEL-lab/EVA,1,3.0,no_description,general,
7houston-travisa,Harzva/learn-likecc,1,4.0,no_description,general,
7houston-travisa,Hungryyan1/UniCorn,1,5.0,no_description,general,
7k-hiroba-provisioning-app[bot],7K-Hiroba/bulkwark-mail,1,1.0,no_description,general,
