bot_category,n_bots,total_events,median_repos,wide_footprint_pct
ci_cd,327,2947067,1.0,0.04892966360856269
code_quality,21,11241,2.0,0.3333333333333333
dependency,445,1062148,2.0,0.2292134831460674
docs,2,1724,388.5,1.0
other,10927,1384744,1.0,0.09920380708337147
security,4,1639,74.0,0.5
translation,15,3585,1.0,0.13333333333333333
