repo_name,lockstep_windows,max_actors,total_events
openclaw/openclaw,328,29,9706
NousResearch/hermes-agent,325,148,12415
forrestchang/andrej-karpathy-skills,320,71,5835
microsoft/winget-pkgs,305,11,11737
NixOS/nixpkgs,301,15,5993
llvm/llvm-project,300,21,2931
JuliusBrussee/caveman,296,48,4614
anthropics/claude-code,292,17,5728
VoltAgent/awesome-design-md,287,38,3259
google-test2/signclav2-probe-repo,284,3,3045
anomalyco/opencode,273,16,2660
multica-ai/multica,266,26,2674
obra/superpowers,266,26,2180
openai/codex,265,16,2840
affaan-m/everything-claude-code,263,21,2388
thedotmack/claude-mem,256,31,2433
microsoft/vscode,254,16,2854
pytorch/pytorch,254,18,5470
merge-demo/mergequeue-bazel,251,7,24131
microsoft/markitdown,243,32,2829
