actor_login,window_start,event_count
dependabot[bot],2026-04-15 12:00:00+00:00,42
github-actions[bot],2026-04-15 12:00:00+00:00,561
pull[bot],2026-04-15 12:00:00+00:00,26
renovate[bot],2026-04-15 12:00:00+00:00,83
