repo_name,total_events,unique_actors,bot_ratio,events_per_actor,events_per_second,distinct_branches,z_total_events,z_unique_actors,z_bot_ratio,z_events_per_actor,z_events_per_second,z_distinct_branches,max_z,anomaly_feature
dishankgargoss/kernel-firmware,17,1,0.0,17.0,0.5,17,10.071910135251857,-0.09130650537769823,-0.47090748348738626,10.355175539181824,-1.6780592977372348,35.15574148675176,35.15574148675176,distinct_branches
PostHog/posthog,11,5,0.09090909090909091,2.2,0.09322033898305085,1,6.23121166715334,34.266027089601685,-0.23298428238184304,0.6270288222630415,-3.207915934021102,1.8418149405075237,34.266027089601685,unique_actors
SoliSpirit/SolVPN,33,1,0.0,33.0,0.28205128205128205,0,20.313772716847904,-0.09130650537769823,-0.47090748348738626,20.87209090882375,-2.49774210019061,-0.24030546863274127,20.87209090882375,events_per_actor
lakshit77/n8n-backup,30,1,0.0,30.0,0.33707865168539325,0,18.393423482798646,-0.09130650537769823,-0.47090748348738626,18.900169277015888,-2.2907897997694677,-0.24030546863274127,18.900169277015888,events_per_actor
MIchael-wufan/test,30,1,0.0,30.0,0.3,0,18.393423482798646,-0.09130650537769823,-0.47090748348738626,18.900169277015888,-2.4302388105768027,-0.24030546863274127,18.900169277015888,events_per_actor
sidarthus89/EVE-Data-Site,28,1,0.0,28.0,0.23931623931623933,0,17.11319066009914,-0.09130650537769823,-0.47090748348738626,17.58555485581065,-2.658464218318723,-0.24030546863274127,17.58555485581065,events_per_actor
AceSeat/RpmArmE2eTestRepo,15,1,0.0,15.0,0.7142857142857143,8,8.79167731255235,-0.09130650537769823,-0.47090748348738626,9.040561117976583,-0.8721526768376977,16.416657804489375,16.416657804489375,distinct_branches
geoffw0/ql,5,1,0.0,5.0,5.0,0,2.3905131990548227,-0.09130650537769823,-0.47090748348738626,2.4674890119503785,15.245979741153047,-0.24030546863274127,15.245979741153047,events_per_second
sidarthus89/EVE-Data-Site-Dev,23,1,0.0,23.0,0.2,0,13.912608603350375,-0.09130650537769823,-0.47090748348738626,14.299018802797546,-2.806328566996587,-0.24030546863274127,14.299018802797546,events_per_actor
KarolisZemaitis/karolis-bots-memory,21,1,0.0,21.0,0.1810344827586207,0,12.632375780650868,-0.09130650537769823,-0.47090748348738626,12.984404381592306,-2.8776559345934425,-0.24030546863274127,12.984404381592306,events_per_actor
n-rosati/talos,7,1,1.0,7.0,0.11666666666666667,6,3.6707460217543284,-0.09130650537769823,2.1462477286735893,3.782103433155619,-3.119736697346407,12.252416986208848,12.252416986208848,distinct_branches
zachbomb/Talos-Cluster,14,2,1.0,7.0,0.11382113821138211,6,8.151560901202599,8.498026893367149,2.1462477286735893,3.782103433155619,-3.1304384383827424,12.252416986208848,12.252416986208848,distinct_branches
No2-Phoenix/blog-images,18,1,0.0,18.0,0.2647058823529412,0,10.71202654660161,-0.09130650537769823,-0.47090748348738626,11.012482749784445,-2.5629763716661387,-0.24030546863274127,11.012482749784445,events_per_actor
hmdfurniture/hmd-tracking,17,1,0.0,17.0,0.2236842105263158,0,10.071910135251857,-0.09130650537769823,-0.47090748348738626,10.355175539181824,-2.717254677318217,-0.24030546863274127,10.355175539181824,events_per_actor
minagocorporation-ux/Dsgghjfghdf,17,1,0.0,17.0,0.13821138211382114,0,10.071910135251857,-0.09130650537769823,-0.47090748348738626,10.355175539181824,-3.0387092294998683,-0.24030546863274127,10.355175539181824,events_per_actor
shadowm-mounarch/yolo-test,8,1,0.0,8.0,0.07476635514018691,5,4.310862433104082,-0.09130650537769823,-0.47090748348738626,4.439410643758239,-3.2773194769054754,10.170296577068582,10.170296577068582,distinct_branches
kenmoini/PowerDNS-Admin,5,1,1.0,5.0,0.18518518518518517,5,2.3905131990548227,-0.09130650537769823,2.1462477286735893,2.4674890119503785,-2.8620455679476664,10.170296577068582,10.170296577068582,distinct_branches
AI-Vallecrosia/truecharts-cluster,8,2,0.25,4.0,0.13559322033898305,5,4.310862433104082,8.498026893367149,0.18338131955285758,1.810181801347758,-3.0485558677415328,10.170296577068582,10.170296577068582,distinct_branches
aicantera/n8n,15,1,0.0,15.0,0.38461538461538464,0,8.79167731255235,-0.09130650537769823,-0.47090748348738626,9.040561117976583,-2.11200901668314,-0.24030546863274127,9.040561117976583,events_per_actor
BIwashi/apogee,3,2,0.6666666666666666,1.5,0.2,1,1.1102803763553168,8.498026893367149,1.273862657953264,0.16691377484120715,-2.806328566996587,1.8418149405075237,8.498026893367149,unique_actors
Ku6epXBOCTuK/XBOCT-page,2,2,0.5,1.0,0.15384615384615385,0,0.4701639650055639,8.498026893367149,0.8376701225931014,-0.16173983046010304,-2.979908454574949,-0.24030546863274127,8.498026893367149,unique_actors
AndreaColamedici/alveare,3,2,0.6666666666666666,1.5,0.04054054054054054,0,1.1102803763553168,8.498026893367149,1.273862657953264,0.16691377484120715,-3.406039259665972,-0.24030546863274127,8.498026893367149,unique_actors
vanshikahni/hni-world-os,3,2,0.0,1.5,0.10344827586206896,1,1.1102803763553168,8.498026893367149,-0.47090748348738626,0.16691377484120715,-3.169449711126034,1.8418149405075237,8.498026893367149,unique_actors
hmcts/prl-cos-api,4,2,1.0,2.0,0.0975609756097561,0,1.75039678770507,8.498026893367149,2.1462477286735893,0.49556738014251733,-3.1915912443046586,-0.24030546863274127,8.498026893367149,unique_actors
salisk/k8s-gitops,4,2,0.75,2.0,0.14285714285714285,0,1.75039678770507,8.498026893367149,1.4919589256333452,0.49556738014251733,-3.021236999236464,-0.24030546863274127,8.498026893367149,unique_actors
inclusive-design/acaw-cama,3,2,1.0,1.5,0.028037383177570093,0,1.1102803763553168,8.498026893367149,2.1462477286735893,0.16691377484120715,-3.4530623537371503,-0.24030546863274127,8.498026893367149,unique_actors
aurora-is-near/aurora-engine,4,2,0.75,2.0,2.0,1,1.75039678770507,8.498026893367149,1.4919589256333452,0.49556738014251733,3.963287048559525,1.8418149405075237,8.498026893367149,unique_actors
nextcloud/collectives,2,2,0.5,1.0,0.2,0,0.4701639650055639,8.498026893367149,0.8376701225931014,-0.16173983046010304,-2.806328566996587,-0.24030546863274127,8.498026893367149,unique_actors
scality/log-courier,2,2,0.5,1.0,2.0,0,0.4701639650055639,8.498026893367149,0.8376701225931014,-0.16173983046010304,3.963287048559525,-0.24030546863274127,8.498026893367149,unique_actors
444616459/gemini,2,2,0.5,1.0,1.0,1,0.4701639650055639,8.498026893367149,0.8376701225931014,-0.16173983046010304,0.2023894843616851,1.8418149405075237,8.498026893367149,unique_actors
odoo/odoo,5,2,0.0,2.5,0.10638297872340426,0,2.3905131990548227,8.498026893367149,-0.47090748348738626,0.8242209854438275,-3.158412594283193,-0.24030546863274127,8.498026893367149,unique_actors
merge-demo/mergequeue-bazel,4,2,1.0,2.0,0.07692307692307693,2,1.75039678770507,8.498026893367149,2.1462477286735893,0.49556738014251733,-3.2692082672055522,3.9239353496477887,8.498026893367149,unique_actors
2lab-ai/soma-work,2,2,0.5,1.0,0.15384615384615385,1,0.4701639650055639,8.498026893367149,0.8376701225931014,-0.16173983046010304,-2.979908454574949,1.8418149405075237,8.498026893367149,unique_actors
ruffy80/ZeusAI,2,2,0.5,1.0,0.2,0,0.4701639650055639,8.498026893367149,0.8376701225931014,-0.16173983046010304,-2.806328566996587,-0.24030546863274127,8.498026893367149,unique_actors
dfinity/ic,5,2,0.4,2.5,1.6666666666666667,0,2.3905131990548227,8.498026893367149,0.5759546013770039,0.8242209854438275,2.7096545271602457,-0.24030546863274127,8.498026893367149,unique_actors
hyperspaceai/agi,12,2,1.0,6.0,0.096,0,6.871328078503092,8.498026893367149,2.1462477286735893,3.1247962225529986,-3.1974619136731626,-0.24030546863274127,8.498026893367149,unique_actors
18501404120/cursor,2,2,0.5,1.0,0.2,0,0.4701639650055639,8.498026893367149,0.8376701225931014,-0.16173983046010304,-2.806328566996587,-0.24030546863274127,8.498026893367149,unique_actors
soenneker/soenneker.kiota.util,2,2,1.0,1.0,2.0,0,0.4701639650055639,8.498026893367149,2.1462477286735893,-0.16173983046010304,3.963287048559525,-0.24030546863274127,8.498026893367149,unique_actors
Meniole/daemon-merging,3,2,0.6666666666666666,1.5,0.02727272727272727,1,1.1102803763553168,8.498026893367149,1.273862657953264,0.16691377484120715,-3.455938146267123,1.8418149405075237,8.498026893367149,unique_actors
