repo_name,total_events,unique_actors,bot_events,first_event,last_event,phish_name_flag,ai_coauthor_flag,total_payload_b,events_per_actor,bot_ratio,time_span_s,events_per_second,event_type_diversity,distinct_branches,suspicious_score
mvark/indiafoodstats,1,1,1,2026-04-15 12:01:12+00:00,2026-04-15 12:01:12+00:00,False,False,614,1.0,1.0,0.0,1.0,1,0,4
mgavilanes/gasolineras,1,1,1,2026-04-15 12:01:12+00:00,2026-04-15 12:01:12+00:00,False,False,620,1.0,1.0,0.0,1.0,1,0,4
smalloneSAMA/douyin-hot-hub,1,1,1,2026-04-15 12:01:57+00:00,2026-04-15 12:01:57+00:00,False,False,628,1.0,1.0,0.0,1.0,1,0,4
ksubbu199/ksubbu199.github.io,1,1,1,2026-04-15 12:01:56+00:00,2026-04-15 12:01:56+00:00,False,False,636,1.0,1.0,0.0,1.0,1,0,4
Borisjiwugu/Hudsonwuwuqi,1,1,1,2026-04-15 12:01:18+00:00,2026-04-15 12:01:18+00:00,False,False,624,1.0,1.0,0.0,1.0,1,0,4
EnterOFF/SecLists,1,1,1,2026-04-15 12:01:18+00:00,2026-04-15 12:01:18+00:00,False,False,610,1.0,1.0,0.0,1.0,1,0,4
yashigupta4623/yashigupta4623,1,1,1,2026-04-15 12:01:17+00:00,2026-04-15 12:01:17+00:00,False,False,634,1.0,1.0,0.0,1.0,1,0,4
ArvinPWD/Commit-Gen,1,1,1,2026-04-15 12:01:18+00:00,2026-04-15 12:01:18+00:00,False,False,614,1.0,1.0,0.0,1.0,1,0,4
rishij-mewada/mobile-provider-scraper,1,1,1,2026-04-15 12:01:13+00:00,2026-04-15 12:01:13+00:00,False,False,648,1.0,1.0,0.0,1.0,1,0,4
mathewjosephta/mathewjosephta,1,1,1,2026-04-15 12:01:13+00:00,2026-04-15 12:01:13+00:00,False,False,634,1.0,1.0,0.0,1.0,1,0,4
Tivonfeng/twenty,1,1,1,2026-04-15 12:01:13+00:00,2026-04-15 12:01:13+00:00,False,False,576,1.0,1.0,0.0,1.0,1,0,4
soloinovator/kubernetes,1,1,1,2026-04-15 12:01:13+00:00,2026-04-15 12:01:13+00:00,False,False,592,1.0,1.0,0.0,1.0,1,0,4
ctnavcnsperu-cgc/metereologia,1,1,1,2026-04-15 12:01:13+00:00,2026-04-15 12:01:13+00:00,False,False,634,1.0,1.0,0.0,1.0,1,0,4
jether2011/jether2011,1,1,1,2026-04-15 12:01:13+00:00,2026-04-15 12:01:13+00:00,False,False,618,1.0,1.0,0.0,1.0,1,0,4
