actor_login,total_events,unique_repos,event_type_diversity,first_seen,last_seen,activity_span_h,events_per_hour,bot_category,wide_footprint
deepsource-autofix[bot],1,1,1,2026-04-15 12:00:26+00:00,2026-04-15 12:00:26+00:00,0.0,1.0,code_quality,False
depot-bot,1,1,1,2026-04-15 12:00:45+00:00,2026-04-15 12:00:45+00:00,0.0,1.0,other,False
devin-ai-integration[bot],1,1,1,2026-04-15 12:01:02+00:00,2026-04-15 12:01:02+00:00,0.0,1.0,other,False
nx-cloud[bot],1,1,1,2026-04-15 12:00:55+00:00,2026-04-15 12:00:55+00:00,0.0,1.0,other,False
dsb-bot,1,1,1,2026-04-15 12:02:03+00:00,2026-04-15 12:02:03+00:00,0.0,1.0,other,False
exercism-solutions-syncer[bot],1,1,1,2026-04-15 12:00:52+00:00,2026-04-15 12:00:52+00:00,0.0,1.0,other,False
gabe565-renovate[bot],1,1,1,2026-04-15 12:01:59+00:00,2026-04-15 12:01:59+00:00,0.0,1.0,dependency,False
gh-worker-dd-mergequeue-cf854d[bot],1,1,1,2026-04-15 12:01:28+00:00,2026-04-15 12:01:28+00:00,0.0,1.0,other,False
gitar-bot[bot],1,1,1,2026-04-15 12:00:10+00:00,2026-04-15 12:00:10+00:00,0.0,1.0,other,False
graphite-app[bot],1,1,1,2026-04-15 12:01:57+00:00,2026-04-15 12:01:57+00:00,0.0,1.0,other,False
heyitsrobotagain[bot],1,1,1,2026-04-15 12:00:58+00:00,2026-04-15 12:00:58+00:00,0.0,1.0,other,False
AirOoO-bot,1,1,1,2026-04-15 12:01:28+00:00,2026-04-15 12:01:28+00:00,0.0,1.0,other,False
konflux-ci-e2e-tests[bot],1,1,1,2026-04-15 12:00:26+00:00,2026-04-15 12:00:26+00:00,0.0,1.0,other,False
my-action-bot[bot],1,1,1,2026-04-15 12:00:00+00:00,2026-04-15 12:00:00+00:00,0.0,1.0,other,False
zhuge-liang-bot[bot],1,1,1,2026-04-15 12:01:08+00:00,2026-04-15 12:01:08+00:00,0.0,1.0,other,False
