repo_name,total_events,unique_actors,bot_ratio,events_per_actor,events_per_second,distinct_branches,z_total_events,z_unique_actors,z_bot_ratio,z_events_per_actor,z_events_per_second,z_distinct_branches,max_z,anomaly_feature
swesmith-uva/django__django.65dfb06a,1623,1,0.0,1623.0,1.6360887096774193,1623,43.88473964596849,-0.08374633719835108,-0.522443569444117,46.249254122395186,2.039774424510225,551.1289704779496,551.1289704779496,distinct_branches
forrestchang/andrej-karpathy-skills,823,814,0.001215066828675577,1.011056511056511,0.009962233089623783,0,22.20539211125837,469.02341146713025,-0.5193651413456487,-0.0593479966235066,-1.0067121892319828,-0.10780113195107177,469.02341146713025,unique_actors
NousResearch/hermes-agent,921,700,0.00760043431053203,1.3157142857142856,0.011144049851775667,38,24.86111218426036,403.24454801117275,-0.5031875170279656,-0.050649863553163185,-1.0044981001081486,12.798543489845738,403.24454801117275,unique_actors
Swathy1209/orchestrai-agent,13328,1,0.0,13328.0,0.16104009086295643,2,361.0806932631959,-0.08374633719835108,-0.522443569444117,380.43290560719873,-0.7236735215970439,0.5714801639329709,380.43290560719873,events_per_actor
minagocorporation-ux/Dsgghjfghdf,11640,1,0.0,11640.0,0.14058480379723903,0,315.33726996495756,-0.08374633719835108,-0.522443569444117,332.2396545430084,-0.7619957303078482,-0.10780113195107177,332.2396545430084,events_per_actor
merge-demo/mergequeue-bazel,2733,7,0.9220636663007684,390.42857142857144,0.03304076599448716,730,73.96483435037877,3.3782991078520443,1.8136474437644912,11.058718392720628,-0.9634754283946535,247.8298718657245,247.8298718657245,distinct_branches
bolividob/bibkreyol-comments-data,8546,1,0.0,8546.0,0.10323126170199916,0,231.4923933744662,-0.08374633719835108,-0.522443569444117,243.90439459478264,-0.8319761823867,-0.10780113195107177,243.90439459478264,events_per_actor
KarolisZemaitis/karolis-bots-memory,8095,1,0.0,8095.0,0.10706680598357295,0,219.27066120177335,-0.08374633719835108,-0.522443569444117,231.02811720737157,-0.8247904348581625,-0.10780113195107177,231.02811720737157,events_per_actor
waqar0345/Sid,7896,1,0.0,7896.0,0.09536577412225081,0,213.8779235025142,-0.08374633719835108,-0.522443569444117,225.34656687456712,-0.8467118766683281,-0.10780113195107177,225.34656687456712,events_per_actor
trunk-io/mergequeue-demo,3266,3,0.9568279240661359,1088.6666666666667,0.06256585122890367,634,88.40869964537939,1.0702688111517809,1.9017243012686582,30.993768052905224,-0.9081612949423831,215.22436966329045,215.22436966329045,distinct_branches
merge-demo/mergequeue-nx,1486,5,0.9279946164199192,297.2,0.021200102719205638,623,40.17215138064938,2.224283959501913,1.8286737806428572,8.396995673992578,-0.9856584643917472,211.48832253592823,211.48832253592823,distinct_branches
khd0425/liteLLM,615,1,0.0,615.0,0.9505409582689336,615,16.568761752233737,-0.08374633719835108,-0.522443569444117,17.470345903968706,0.7554265722266318,208.77119735239205,208.77119735239205,distinct_branches
mobbcitestjob/ai-blame-e2e-tests,1939,12,0.05054151624548736,161.58333333333334,0.03081103413207907,594,52.448081922178986,6.2633369787273745,-0.39439429669844656,4.525071464777362,-0.9676527469297496,201.63874374560962,201.63874374560962,distinct_branches
KudoKaito272/Mattermost,576,1,0.0,576.0,0.414985590778098,576,15.51189355991662,-0.08374633719835108,-0.522443569444117,16.356876240755774,-0.24791620674479878,195.5252120826532,195.5252120826532,distinct_branches
hyperspaceai/agi,7216,2,1.0,3608.0,0.08716344353582084,9,195.45047809801062,0.49326123697671487,2.0111027555952186,102.9220049295148,-0.8620786336167062,2.94896469952712,195.45047809801062,total_events
escapingwork/teenagerspopulation,6820,1,0.0,6820.0,0.08242787560884227,0,184.71920106832908,-0.08374633719835108,-0.522443569444117,194.62622437156426,-0.8709505414945486,-0.10780113195107177,194.62622437156426,events_per_actor
