actor_login,window_start,event_count
claude[bot],2026-04-16 22:20:00+00:00,38
claude[bot],2026-04-16 22:40:00+00:00,24
claude[bot],2026-04-16 22:50:00+00:00,26
claudecodejg-bot,2026-04-16 00:00:00+00:00,23
claudecodejg-bot,2026-04-16 00:10:00+00:00,29
claudecodejg-bot,2026-04-16 00:20:00+00:00,25
claudecodejg-bot,2026-04-16 00:30:00+00:00,29
claudecodejg-bot,2026-04-16 00:40:00+00:00,27
claudecodejg-bot,2026-04-16 00:50:00+00:00,21
claudecodejg-bot,2026-04-16 01:00:00+00:00,24
claudecodejg-bot,2026-04-16 01:10:00+00:00,27
claudecodejg-bot,2026-04-16 01:20:00+00:00,23
claudecodejg-bot,2026-04-16 01:30:00+00:00,26
claudecodejg-bot,2026-04-16 01:50:00+00:00,21
claudecodejg-bot,2026-04-16 02:10:00+00:00,23
claudecodejg-bot,2026-04-16 02:20:00+00:00,26
claudecodejg-bot,2026-04-16 02:30:00+00:00,27
claudecodejg-bot,2026-04-16 02:40:00+00:00,26
claudecodejg-bot,2026-04-16 03:00:00+00:00,23
claudecodejg-bot,2026-04-16 03:10:00+00:00,25
claudecodejg-bot,2026-04-16 03:20:00+00:00,20
claudecodejg-bot,2026-04-16 03:30:00+00:00,21
claudecodejg-bot,2026-04-16 03:50:00+00:00,26
claudecodejg-bot,2026-04-16 04:00:00+00:00,25
claudecodejg-bot,2026-04-16 04:10:00+00:00,23
claudecodejg-bot,2026-04-16 04:20:00+00:00,34
claudecodejg-bot,2026-04-16 04:30:00+00:00,25
claudecodejg-bot,2026-04-16 04:40:00+00:00,26
claudecodejg-bot,2026-04-16 04:50:00+00:00,27
claudecodejg-bot,2026-04-16 05:00:00+00:00,24
claudecodejg-bot,2026-04-16 05:10:00+00:00,26
claudecodejg-bot,2026-04-16 05:20:00+00:00,25
claudecodejg-bot,2026-04-16 05:30:00+00:00,31
claudecodejg-bot,2026-04-16 05:40:00+00:00,21
claudecodejg-bot,2026-04-16 05:50:00+00:00,26
claudecodejg-bot,2026-04-16 06:00:00+00:00,20
claudecodejg-bot,2026-04-16 06:10:00+00:00,21
claudecodejg-bot,2026-04-16 06:20:00+00:00,24
claudecodejg-bot,2026-04-16 06:30:00+00:00,28
claudecodejg-bot,2026-04-16 06:40:00+00:00,23
claudecodejg-bot,2026-04-16 06:50:00+00:00,27
claudecodejg-bot,2026-04-16 07:00:00+00:00,21
claudecodejg-bot,2026-04-16 07:10:00+00:00,27
claudecodejg-bot,2026-04-16 07:20:00+00:00,22
claudecodejg-bot,2026-04-16 07:40:00+00:00,24
claudecodejg-bot,2026-04-16 07:50:00+00:00,24
claudecodejg-bot,2026-04-16 08:00:00+00:00,21
claudecodejg-bot,2026-04-16 08:10:00+00:00,29
claudecodejg-bot,2026-04-16 08:20:00+00:00,28
claudecodejg-bot,2026-04-16 08:30:00+00:00,23
claudecodejg-bot,2026-04-16 08:40:00+00:00,25
claudecodejg-bot,2026-04-16 08:50:00+00:00,30
claudecodejg-bot,2026-04-16 09:00:00+00:00,21
claudecodejg-bot,2026-04-16 09:10:00+00:00,21
claudecodejg-bot,2026-04-16 09:20:00+00:00,31
claudecodejg-bot,2026-04-16 09:30:00+00:00,22
claudecodejg-bot,2026-04-16 09:40:00+00:00,29
claudecodejg-bot,2026-04-16 09:50:00+00:00,23
claudecodejg-bot,2026-04-16 10:00:00+00:00,29
claudecodejg-bot,2026-04-16 10:10:00+00:00,26
claudecodejg-bot,2026-04-16 10:20:00+00:00,24
claudecodejg-bot,2026-04-16 10:30:00+00:00,28
claudecodejg-bot,2026-04-16 10:40:00+00:00,28
claudecodejg-bot,2026-04-16 10:50:00+00:00,24
claudecodejg-bot,2026-04-16 11:00:00+00:00,27
claudecodejg-bot,2026-04-16 11:10:00+00:00,23
claudecodejg-bot,2026-04-16 11:20:00+00:00,21
claudecodejg-bot,2026-04-16 11:40:00+00:00,24
claudecodejg-bot,2026-04-16 11:50:00+00:00,21
claudecodejg-bot,2026-04-16 12:00:00+00:00,21
claudecodejg-bot,2026-04-16 12:10:00+00:00,20
claudecodejg-bot,2026-04-16 12:20:00+00:00,22
claudecodejg-bot,2026-04-16 12:30:00+00:00,23
claudecodejg-bot,2026-04-16 12:40:00+00:00,26
claudecodejg-bot,2026-04-16 12:50:00+00:00,21
claudecodejg-bot,2026-04-16 13:00:00+00:00,21
claudecodejg-bot,2026-04-16 13:10:00+00:00,22
claudecodejg-bot,2026-04-16 13:20:00+00:00,27
claudecodejg-bot,2026-04-16 13:30:00+00:00,26
claudecodejg-bot,2026-04-16 13:40:00+00:00,22
claudecodejg-bot,2026-04-16 13:50:00+00:00,20
claudecodejg-bot,2026-04-16 14:30:00+00:00,28
claudecodejg-bot,2026-04-16 14:40:00+00:00,21
claudecodejg-bot,2026-04-16 14:50:00+00:00,24
claudecodejg-bot,2026-04-16 15:00:00+00:00,25
claudecodejg-bot,2026-04-16 15:10:00+00:00,28
claudecodejg-bot,2026-04-16 15:30:00+00:00,22
claudecodejg-bot,2026-04-16 15:40:00+00:00,22
claudecodejg-bot,2026-04-16 15:50:00+00:00,21
claudecodejg-bot,2026-04-16 16:00:00+00:00,23
claudecodejg-bot,2026-04-16 16:10:00+00:00,23
claudecodejg-bot,2026-04-16 16:20:00+00:00,27
claudecodejg-bot,2026-04-16 16:30:00+00:00,32
claudecodejg-bot,2026-04-16 16:40:00+00:00,27
claudecodejg-bot,2026-04-16 16:50:00+00:00,20
claudecodejg-bot,2026-04-16 17:00:00+00:00,21
claudecodejg-bot,2026-04-16 17:20:00+00:00,21
claudecodejg-bot,2026-04-16 17:30:00+00:00,22
claudecodejg-bot,2026-04-16 17:40:00+00:00,20
claudecodejg-bot,2026-04-16 17:50:00+00:00,26
claudecodejg-bot,2026-04-16 18:00:00+00:00,21
claudecodejg-bot,2026-04-16 18:10:00+00:00,28
claudecodejg-bot,2026-04-16 18:30:00+00:00,25
claudecodejg-bot,2026-04-16 18:40:00+00:00,24
claudecodejg-bot,2026-04-16 18:50:00+00:00,23
claudecodejg-bot,2026-04-16 19:00:00+00:00,22
claudecodejg-bot,2026-04-16 19:10:00+00:00,27
claudecodejg-bot,2026-04-16 19:20:00+00:00,20
claudecodejg-bot,2026-04-16 19:30:00+00:00,26
claudecodejg-bot,2026-04-16 19:40:00+00:00,26
claudecodejg-bot,2026-04-16 19:50:00+00:00,21
claudecodejg-bot,2026-04-16 20:00:00+00:00,20
claudecodejg-bot,2026-04-16 20:10:00+00:00,22
claudecodejg-bot,2026-04-16 20:30:00+00:00,25
claudecodejg-bot,2026-04-16 20:40:00+00:00,26
claudecodejg-bot,2026-04-16 20:50:00+00:00,22
claudecodejg-bot,2026-04-16 21:00:00+00:00,24
claudecodejg-bot,2026-04-16 21:20:00+00:00,24
claudecodejg-bot,2026-04-16 21:30:00+00:00,31
claudecodejg-bot,2026-04-16 21:40:00+00:00,30
claudecodejg-bot,2026-04-16 22:00:00+00:00,20
claudecodejg-bot,2026-04-16 22:10:00+00:00,26
claudecodejg-bot,2026-04-16 22:20:00+00:00,26
claudecodejg-bot,2026-04-16 22:30:00+00:00,32
claudecodejg-bot,2026-04-16 22:40:00+00:00,27
claudecodejg-bot,2026-04-16 22:50:00+00:00,25
clawdhub[bot],2026-04-16 00:00:00+00:00,20
clawdhub[bot],2026-04-16 00:30:00+00:00,23
cloudflare-workers-and-pages[bot],2026-04-16 00:00:00+00:00,29
cloudflare-workers-and-pages[bot],2026-04-16 00:10:00+00:00,26
cloudflare-workers-and-pages[bot],2026-04-16 00:20:00+00:00,27
cloudflare-workers-and-pages[bot],2026-04-16 00:30:00+00:00,37
cloudflare-workers-and-pages[bot],2026-04-16 00:40:00+00:00,31
cloudflare-workers-and-pages[bot],2026-04-16 00:50:00+00:00,29
cloudflare-workers-and-pages[bot],2026-04-16 01:00:00+00:00,72
cloudflare-workers-and-pages[bot],2026-04-16 01:10:00+00:00,30
cloudflare-workers-and-pages[bot],2026-04-16 01:20:00+00:00,30
cloudflare-workers-and-pages[bot],2026-04-16 01:30:00+00:00,44
cloudflare-workers-and-pages[bot],2026-04-16 01:40:00+00:00,34
cloudflare-workers-and-pages[bot],2026-04-16 01:50:00+00:00,29
cloudflare-workers-and-pages[bot],2026-04-16 02:00:00+00:00,31
cloudflare-workers-and-pages[bot],2026-04-16 02:10:00+00:00,37
cloudflare-workers-and-pages[bot],2026-04-16 02:20:00+00:00,34
cloudflare-workers-and-pages[bot],2026-04-16 02:30:00+00:00,31
cloudflare-workers-and-pages[bot],2026-04-16 02:40:00+00:00,51
cloudflare-workers-and-pages[bot],2026-04-16 02:50:00+00:00,33
cloudflare-workers-and-pages[bot],2026-04-16 03:00:00+00:00,38
cloudflare-workers-and-pages[bot],2026-04-16 03:10:00+00:00,26
cloudflare-workers-and-pages[bot],2026-04-16 03:20:00+00:00,27
cloudflare-workers-and-pages[bot],2026-04-16 03:30:00+00:00,37
cloudflare-workers-and-pages[bot],2026-04-16 03:40:00+00:00,32
cloudflare-workers-and-pages[bot],2026-04-16 03:50:00+00:00,41
cloudflare-workers-and-pages[bot],2026-04-16 04:00:00+00:00,37
cloudflare-workers-and-pages[bot],2026-04-16 04:10:00+00:00,32
cloudflare-workers-and-pages[bot],2026-04-16 04:20:00+00:00,31
cloudflare-workers-and-pages[bot],2026-04-16 04:30:00+00:00,26
cloudflare-workers-and-pages[bot],2026-04-16 04:40:00+00:00,30
cloudflare-workers-and-pages[bot],2026-04-16 04:50:00+00:00,41
cloudflare-workers-and-pages[bot],2026-04-16 05:00:00+00:00,38
cloudflare-workers-and-pages[bot],2026-04-16 05:20:00+00:00,42
cloudflare-workers-and-pages[bot],2026-04-16 05:30:00+00:00,33
cloudflare-workers-and-pages[bot],2026-04-16 05:40:00+00:00,41
cloudflare-workers-and-pages[bot],2026-04-16 05:50:00+00:00,35
cloudflare-workers-and-pages[bot],2026-04-16 06:00:00+00:00,48
cloudflare-workers-and-pages[bot],2026-04-16 06:10:00+00:00,22
cloudflare-workers-and-pages[bot],2026-04-16 06:20:00+00:00,35
cloudflare-workers-and-pages[bot],2026-04-16 06:30:00+00:00,41
cloudflare-workers-and-pages[bot],2026-04-16 06:40:00+00:00,26
cloudflare-workers-and-pages[bot],2026-04-16 06:50:00+00:00,35
cloudflare-workers-and-pages[bot],2026-04-16 07:00:00+00:00,45
cloudflare-workers-and-pages[bot],2026-04-16 07:10:00+00:00,40
cloudflare-workers-and-pages[bot],2026-04-16 07:20:00+00:00,35
cloudflare-workers-and-pages[bot],2026-04-16 07:30:00+00:00,35
cloudflare-workers-and-pages[bot],2026-04-16 07:40:00+00:00,50
cloudflare-workers-and-pages[bot],2026-04-16 07:50:00+00:00,32
cloudflare-workers-and-pages[bot],2026-04-16 08:00:00+00:00,23
cloudflare-workers-and-pages[bot],2026-04-16 08:10:00+00:00,37
cloudflare-workers-and-pages[bot],2026-04-16 08:20:00+00:00,40
cloudflare-workers-and-pages[bot],2026-04-16 08:30:00+00:00,45
cloudflare-workers-and-pages[bot],2026-04-16 08:40:00+00:00,22
cloudflare-workers-and-pages[bot],2026-04-16 08:50:00+00:00,36
cloudflare-workers-and-pages[bot],2026-04-16 09:00:00+00:00,36
cloudflare-workers-and-pages[bot],2026-04-16 09:10:00+00:00,30
cloudflare-workers-and-pages[bot],2026-04-16 09:20:00+00:00,36
cloudflare-workers-and-pages[bot],2026-04-16 09:30:00+00:00,41
cloudflare-workers-and-pages[bot],2026-04-16 09:40:00+00:00,30
cloudflare-workers-and-pages[bot],2026-04-16 09:50:00+00:00,26
cloudflare-workers-and-pages[bot],2026-04-16 10:10:00+00:00,27
cloudflare-workers-and-pages[bot],2026-04-16 10:20:00+00:00,32
cloudflare-workers-and-pages[bot],2026-04-16 10:30:00+00:00,24
cloudflare-workers-and-pages[bot],2026-04-16 10:40:00+00:00,21
cloudflare-workers-and-pages[bot],2026-04-16 10:50:00+00:00,31
cloudflare-workers-and-pages[bot],2026-04-16 11:00:00+00:00,29
cloudflare-workers-and-pages[bot],2026-04-16 11:10:00+00:00,28
cloudflare-workers-and-pages[bot],2026-04-16 11:20:00+00:00,38
cloudflare-workers-and-pages[bot],2026-04-16 11:30:00+00:00,37
